DolceFut.v2.0.0,Light.L,Light.R,Origin.L,Origin.R,Reg.L,Reg.R,SemBd.L,SemBd.R
A              ,    -25,    -24,     -25,     -25,  -25,  -25,    -25,    -25
B              ,    120,     50,     120,      50,  120,   50,    120,     50
C              ,     51,     80,      50,      80,   50,   80,     35,     69
D              ,    121,     61,     120,      60,  120,   60,    120,     60
E              ,    121,     80,     120,      80,  120,   80,    120,     80
F              ,    120,     80,     120,      80,  120,   80,    120,     80
G              ,     50,     30,      50,      30,   38,   30,     38,     30
H              ,    120,    120,     120,     120,  120,  120,    120,    120
I              ,    151,    151,     150,     150,  150,  150,    150,    150
J              ,      0,    150,       0,     150,    0,  150,      0,    150
K              ,    144,    -25,     120,     -25,  120,  -25,    120,    -25
L              ,    121,     50,     120,      50,  120,   50,    120,     50
M              ,     30,     30,      30,      30,   30,   30,     30,     30
N              ,    121,    100,     120,     100,  120,  100,    120,    100
O              ,     51,     51,      50,      50,   35,   30,     35,     30
P              ,    121,    -21,     120,     -22,  120,  -10,    120,    -10
Q              ,     74,     50,      50,      50,   50,   50,     50,     50
R              ,    144,    -50,     120,     -50,  120,  -30,    120,    -30
S              ,     80,     50,      80,      50,   80,   50,     80,     50
T              ,     20,     20,      20,      20,   20,   20,     20,     20
U              ,    121,    121,     120,     120,  120,  120,    120,    120
V              ,    -20,    -20,     -20,     -20,  -20,  -20,    -20,    -20
W              ,    -12,    -10,     -12,     -10,  -12,  -10,    -12,    -10
X              ,    -10,    -10,     -10,     -10,  -10,  -10,    -10,    -10
Y              ,      5,      5,       4,       4,    4,    4,      4,      4
Z              ,    -10,     51,     -10,      50,  -10,   50,    -10,     50
AE             ,     12,   -104,     -25,    -104,  -38, -104,    -38,   -104
OE             ,     74,    173,      50,     149,   50,  149,     50,    149
NJ             ,       ,       ,        ,        ,     ,     ,       ,       
LJ             ,       ,       ,        ,        ,     ,     ,       ,       
Nj             ,       ,       ,        ,        ,     ,     ,       ,       
Lj             ,       ,       ,        ,        ,     ,     ,       ,       
IJ             ,       ,       ,        ,        ,     ,     ,       ,       
Eth            ,     19,    132,       0,     108,    0,  108,      0,    108
Eng            ,       ,       ,        ,        ,     ,     ,       ,       
Thorn          ,       ,       ,        ,        ,     ,     ,       ,       
Alpha          ,       ,       ,        ,        ,     ,     ,       ,       
Beta           ,       ,       ,        ,        ,     ,     ,       ,       
Gamma          ,       ,       ,        ,        ,     ,     ,       ,       
Delta          ,     -8,    -10,      -8,     -10,   -8,  -10,     -8,    -10
Epsilon        ,       ,       ,        ,        ,     ,     ,       ,       
Zeta           ,       ,       ,        ,        ,     ,     ,       ,       
Eta            ,       ,       ,        ,        ,     ,     ,       ,       
Theta          ,       ,       ,        ,        ,     ,     ,       ,       
Iota           ,       ,       ,        ,        ,     ,     ,       ,       
Kappa          ,       ,       ,        ,        ,     ,     ,       ,       
Lambda         ,       ,       ,        ,        ,     ,     ,       ,       
Mu             ,       ,       ,        ,        ,     ,     ,       ,       
Nu             ,       ,       ,        ,        ,     ,     ,       ,       
Xi             ,       ,       ,        ,        ,     ,     ,       ,       
Omicron        ,       ,       ,        ,        ,     ,     ,       ,       
Pi             ,       ,       ,        ,        ,     ,     ,       ,       
Rho            ,       ,       ,        ,        ,     ,     ,       ,       
Sigma          ,       ,       ,        ,        ,     ,     ,       ,       
Tau            ,       ,       ,        ,        ,     ,     ,       ,       
Upsilon        ,       ,       ,        ,        ,     ,     ,       ,       
Phi            ,       ,       ,        ,        ,     ,     ,       ,       
Chi            ,       ,       ,        ,        ,     ,     ,       ,       
Psi            ,       ,       ,        ,        ,     ,     ,       ,       
