  ABChanelCorpo,Light.L,Light.R,SemBd.L,SemBd.R
  A            ,     12,     12,     15,     15
  B            ,    137,     91,    131,     86
  C            ,     88,     71,     85,     64
  D            ,    137,     88,    131,     85
  E            ,    137,     97,    131,     92
  F            ,    137,     43,    131,     63
  G            ,     88,    102,     85,    119
  H            ,    137,    137,    131,    131
  I            ,    137,    137,    131,    131
  J            ,     56,    127,     36,    125
  K            ,    137,     18,    131,     31
  L            ,    137,     36,    131,     40
  M            ,    137,    136,    131,    131
  N            ,    137,    136,    131,    131
  O            ,     88,     88,     85,     85
  P            ,    137,     57,    131,     59
  Q            ,     88,     88,     85,     85
  R            ,    137,     70,    131,     64
  S            ,     81,     73,     88,     90
  T            ,     46,     46,     38,     38
  U            ,    127,    127,    125,    125
  V            ,     24,     24,     26,     26
  W            ,     38,     37,     43,     43
  X            ,     31,     32,     19,     19
  Y            ,     16,     16,      3,      3
  Z            ,     80,     70,     96,    101
