  ABChanelPB,Reg.L,Reg.R,SemBd.L,SemBd.R
  A         ,    6,    6,     18,     18
  B         ,  130,   85,    134,     89
  C         ,   84,   54,     88,     67
  D         ,  130,   84,    134,     88
  E         ,  130,   92,    134,     95
  F         ,  130,   37,    134,     66
  G         ,   84,   99,     88,    122
  H         ,  130,  130,    134,    134
  I         ,  130,  130,    134,    134
  J         ,   40,  123,     39,    128
  K         ,  130,    2,    134,     34
  L         ,  130,   20,    134,     43
  M         ,  130,  130,    134,    134
  N         ,  130,  130,    134,    134
  O         ,   84,   84,     88,     88
  P         ,  130,   52,    134,     62
  Q         ,   84,   84,     88,     88
  R         ,  130,   61,    134,     67
  S         ,   77,   70,     91,     93
  T         ,   34,   34,     41,     41
  U         ,  123,  123,    128,    128
  V         ,   10,   10,     29,     29
  W         ,   31,   31,     46,     46
  X         ,   14,   16,     22,     22
  Y         ,   14,   15,      6,      6
  Z         ,   81,   74,     99,    104
